Original Part,description,Alternative Part,description.1
IPH-00330,#Ic HEF4052BP         DIP16 NXP,ITI-00956,IC CD4052BE         DIP-16    TI
IPH-00330,#Ic HEF4052BP         DIP16 NXP,ITI-00956,IC CD4052BE         DIP-16    TI
IPH-00292,#Ic 74HCT74N                NXP,ITI-00957,IC CD74HCT74E        DIP-14   TI
IPH-00292,#Ic 74HCT74N                NXP,ITI-00957,IC CD74HCT74E        DIP-14   TI
IN4-00025,#Ic 74HCT125N  DIP14    NXP,ITI-00958,IC CD74HCT125E     DIP-14    TI
IN4-00025,#Ic 74HCT125N  DIP14    NXP,ITI-00958,IC CD74HCT125E     DIP-14    TI
IN4-00026,#Ic 74HCT166N  DIP16    NXP,ITI-00959,IC CD74HCT166E      DIP-16    TI
IN4-00026,#Ic 74HCT166N  DIP16    NXP,ITI-00959,IC CD74HCT166E      DIP-16    TI
IN4-00029,#Ic 74HC597N  DIP16    NXP,ITI-00960,IC CD74HCT597E     DIP-16    TI
IN4-00029,#Ic 74HC597N  DIP16    NXP,ITI-00960,IC CD74HCT597E     DIP-16    TI
IN4-00029,#Ic 74HC597N  DIP16    NXP,ITI-00960,IC CD74HCT597E     DIP-16    TI
IN4-00029,#Ic 74HC597N  DIP16    NXP,ITI-00960,IC CD74HCT597E     DIP-16    TI
IPH-00235,#Ic 74HCT259N  16P          NEX,ITI-00961,IC CD74HCT259E      DIP-16          TI
IPH-00235,#Ic 74HCT259N  16P          NEX,ITI-00961,IC CD74HCT259E      DIP-16          TI
IPH-00235,#Ic 74HCT259N  16P          NEX,ITI-00961,IC CD74HCT259E      DIP-16          TI
IPH-00235,#Ic 74HCT259N  16P          NEX,ITI-00961,IC CD74HCT259E      DIP-16          TI
WM8-00096,SMD   1K27    1%   0.1W 0603 100ppm MUL,WVH-00877,SMD   1K27    1%   0.1W 0603 100ppm VIS
IA6-00040,#SMDic AT93C56A-10SU-2.7 SO8 ATM,IA6-00169,SMDic  AT93C56B-SSHM-B  SO8  ATM
KRD-00023,#MKT   33nF   63V R=1e     VIS,KWI-00273,MKS02   33nF   63V 10% R=1e     WIM
TN4-00040,#SMDtran BSH111       SOT23 NXP,TOZ-00007,SMDfet MMBF170LT1G SOT-23 ONS
CHC-00044,SMDCONN  Micro SD card hinge 8P HIR,CHC-00068,SMDconn Micro SD card hinge 8p       HIR
CHC-00044,SMDCONN  Micro SD card hinge 8P HIR,CHC-00068,SMDconn Micro SD card hinge 8p       HIR
IN4-00047,#Ic 74HCT273N  DIP20    NXP,ITI-00962,IC CD74HCT273E  DIP20    TI
KSI-00135,#SMD  33pF        5%   50V  C0G 0603 EPC,KYA-00053,SMD  33pF        5%   50V  C0G 0603 YAG
IPH-00291,#Ic 74HCT4060N              NXP,ITI-00964,IC CD74HCT4060E      DIP-16        TI
IN4-00081,#Ic 74HCT238N  DIP16    NXP,ITI-00965,IC CD74HCT238E       DIP-16    TI
IPH-00233,#Ic 74HCT32N   14P          NXP,ITI-00966,IC CD74HCT32E       DIP-14       TI
IPH-00002,#Ic 74HCT14N hex sm.trigg   NXP,ITI-00967,IC CD74HCT14E    DIP-14    TI
IPH-00155,#Ic 74HCT08N 4*2 and        NXP,ITI-00968,IC CD74HCT08E    DIP-14       NXP
IPH-00232,#Ic 74HCT02N   14P          NXP,ITI-00969,IC CD74HCT02E     DIP-14          TI
DIR-00032,#SMDdio 30BQ060TRPBF         SMC     VIS,DVH-00205,SMDdiode VS-30BQ060-M3/9AT  SMC      VIS
KSI-00135,#SMD  33pF        5%   50V  C0G 0603 EPC,KYA-00053,SMD  33pF        5%   50V  C0G 0603 YAG
KSI-00135,#SMD  33pF        5%   50V  C0G 0603 EPC,KYA-00053,SMD  33pF        5%   50V  C0G 0603 YAG
KSI-00135,#SMD  33pF        5%   50V  C0G 0603 EPC,KYA-00053,SMD  33pF        5%   50V  C0G 0603 YAG
DIR-00017,#SMDdio 10BQ040              SMB     VIS,DVH-00206,SMDdiode VS-10BQ040-M3/5BT  SMB      VIS
DIR-00033,#SMDdio 10BQ060TRPBF         SMB     VIS,DD2-00043,SMDdiode B1100LB-13-F       SMB      DIO
KSI-00135,#SMD  33pF        5%   50V  C0G 0603 EPC,KYA-00053,SMD  33pF        5%   50V  C0G 0603 YAG
KSI-00135,#SMD  33pF        5%   50V  C0G 0603 EPC,KYA-00053,SMD  33pF        5%   50V  C0G 0603 YAG
IPH-00381,#Ic 74HCT245N        DIL-20 NXP,ITI-00963,IC CD74HCT245E        DIP-20  TI
MZZ-00482,Crimpsleeve 2.4/1.2mm PVDF tra    TE,MZZ-01061,Crimpsleeve 2.4/1.2mm RW-175-E       TYC
MZZ-00482,Crimpsleeve 2.4/1.2mm PVDF tra    TE,MZZ-01061,Crimpsleeve 2.4/1.2mm RW-175-E       TYC
MZZ-00482,Crimpsleeve 2.4/1.2mm PVDF tra    TE,MZZ-01061,Crimpsleeve 2.4/1.2mm RW-175-E       TYC
CMI-00003,#Solder eye C-29  NON-ROHS    MIC,CWH-00001,Soldereye 200-201
CJI-00014,Boxheader 26P 2r mle hks   JAE,CHC-00069,Conn      26p 2r 90º R=2mm           HIR
UZZ-01286,Touch screen 150805A3 (SAAB),UZZ-01442,Touch screen 150805A4 (SAAB)
UZZ-01419,Touch screen M065803-D06.1 (SAAB),UZZ-01440,Touch screen 065803A6 (SAAB)
UZZ-01250,Touchscreen RVD10 104805A5 (SAAB),UZZ-01441,Touchscreen RVD10 104805A8 (SAAB)
KVH-00191,SMD 100pF        1%  100V  C0G 0603 VIS,KVH-00375,SMD 100pF        1%  100V  C0G 0603 VIS
IS44-00002,#IC SMT160-30-92    TO92 SMAR,IS44-00003,#IC SMT160-30-92 SC0305      TO-92   SMA
DIR-00022,#SMDdio 10BQ015TRPBF         SMB     VIS,DVH-00207,SMDdiode VS-10BQ015-M3/5BT  SMB      VIS
KBN-00001,Elco Supercap 1F 5.5V R=2e   COO,KE3-00002,Elco Supercap 1F 5.5V R=2e   ELN
KSI-00321,#Cer     1uF   50V  10%  R=2e     EPC,KAX-00323,Cer       1uF 10%  50V X7R  R=2e     AVX
KSI-00321,#Cer     1uF   50V  10%  R=2e     EPC,KAX-00323,Cer       1uF 10%  50V X7R  R=2e     AVX
WAP-00067,SMD   4K3   0.1% 0.063W 0603  25ppm  TE,WS66-00038,SMD   4K3   0.1%  0.1W  0603  25ppm SUS
WAP-00057,SMD   7K68  0.1% 0.063W 0603  25ppm  TE,WS66-00039,SMD   7K68  0.1%  0.1W  0603  25ppm SUS
DVH-00199,#SMDdio  SMBJ12C-E3/52      SMB      VIS,DVH-00201,SMDdio  SMBJ12CA-E3    SMB      VIS
CMI-00003,#Solder eye C-29  NON-ROHS    MIC,CWH-00001,Soldereye 200-201
IPH-00271,#Ic HEF4050BP               NXP,ITI-00984,IC CD4050BE                 DIP-16    TI
DIR-00001,#SMDdio 30BQ040TRPBF          SMC    VIS,DVH-00210,SMDdiode VS-30BQ040-M3      SMC      VIS
DIR-00028,#SMDdio 30BQ100TRPBF         SMC     VIS,DVH-00211,SMDdiode VS-30BQ100-M3/9AT  SMC      VIS
IR3-00015,#SMDic FM25V02-G            SO-8     CYP,ICJ-00042,SMDic FM25V02A-G            SO-8     CYP
IPH-00014,#Ic HEF4093BP                NEX,ITI-00175,Ic CD4093BE                 DIP-14    TI
IPH-01234,3Ic HEF4013BP         DIP14 NXP,ITI-00986,IC CD4013BE                 DIP-16    TI
IPH-00054,#Ic 74HC221N          DIL16 NXP,ITI-00987,IC CD74HC221E               DIP-16    TI
HBO-00002,#SMDtrafo PM61300-5-RC               BOU,HBN-00002,#SMDtrafo CCFL 6W CTX210611-R        EAT
CPN-00015,#Wafer      7P    mle str   PAN,CAP-00499,Wafer      7P   mle str MTA100    TYC
UZZ-01305,#CPU-board Express-CBR-R-20 +DDR3 RAM AD,UZZ-01450,#CPU-board Express-CBR-R-20 +DDR3 RAM AD
UZZ-01398,SSD 120G SATA -40º/+85ºC            ATP,UZZ-01451,verwijderen
UZZ-01398,SSD 120G SATA -40º/+85ºC            ATP,UZZ-01452,verwijderen
UZZ-01451,verwijderen,UZZ-01452,verwijderen
KSI-00268,#SMD  27pF        5%   50V  C0G 0603 EPC,KPH-00663,SMD  27pF        5%   50V  C0G 0603 YAG
KPH-00592,#Elco   10uF   10V R=2e     VIS,KPA-00227,Elco     10uF 20%  50V      R=2e     PAN
ICJ-00038,#SMDic CY7C65620-56LFXA QFN-56 CYP,ICJ-00051,#SMDic CY7C65620-56LTXA QFN-56 CYP
KMU-00223,#SMD  47uF       10%   10V  X5R 1812 MUR,KTV-00059,SMD  47uF       20%   10V  X5R 1812 TDK
KMU-00033,#SMD  10uF  +80/-20%   25V  Y5V 1210 MUR,KM8-00035,SMD  10uF  +80/-20%   25V  Y5V 1210 MUL
KMU-00099,#SMD  22uF  +80/-20%   10V  Y5V 1210 MUR,KAX-00418,SMD  22uF  +80/-20%   10V  Y5V 1210 AVX
DVH-00135,#SMDdio BZG05C4V7TR         DO-214AC VIS,DVH-00213,#SMDdio BZG05C4V7-E3      DO-214AC VIS
WYA-00144,SMD 154K      1%   0.1W 0603  50ppm YAG,WPA-00156,SMD 154K    0.1%   0.1W 0603  25ppm PAN
DM15-00003,#SMDdio SK34B               DO-214AA MIC,DMC-00005,#SMDdio SK34B              DO-214AA MCC
WYA-00147,SMD 402R      1%   0.1W 0603  50ppm YAG,WAP-00073,SMD 402R      1% 0.063W 0603  50ppm  TE
KVH-00353,MKT1822  22NF 10% 1000V  R=6e       VIS,KIL-00002,CAP   22NF 10% 1000V  R=6e       Ill
LNE-00008,Display QG065XI01-00   Q-Vio,LQV-00001,Display QG065XI01-00 REV B   Q-Vio
ICJ-00038,#SMDic CY7C65620-56LFXA QFN-56 CYP,ICJ-00051,#SMDic CY7C65620-56LTXA QFN-56 CYP
LO1-00053,#SMDled Green LT QH9G-Q2S2-25-1 0402 OSR,LO1-00064,SMDled Grn LTQH9G-Q2OO-25-2Z4Y (RLS) OSR
KPH-00605,SMD 680nF  +80/-20%   25V  Y5V 0805 YAG,KAX-00419,SMD 680nF  +80/-20%   25V  Y5V 0805 AVX
IMX-00282,#SMDic DS9502P+    TSOC-6    MAX,IMX-00356,SMDic DS9503P+    TSOC-6    MAX
IMX-00282,#SMDic DS9502P+    TSOC-6    MAX,IMX-00356,SMDic DS9503P+    TSOC-6    MAX
ISG-00177,#Ic ZPSD301B-90JI 9522 gp.V3.03,ISG-00746,#Ic PSD311-20J   9522 gp.V3.03
WVH-01052,SMD  23K2     1%   0.1W 0603 100ppm VIS,WPA-00171,SMD  23K2     1%   0.1W 0603 100ppm PAN
BZZ-01192,#Wartel PG16  PA  250/16     JAC,BAV-00007,Wartel PG16  1234P1601 RAL7035  CENA
WYA-00234,SMD   5K62  0.5%   0.1W 0603  25ppm YAG,WS66-00021,SMD   5K62  0.5% 0.063W 0603  25ppm SUS
WM8-00075,#SMD  30K1   0.1%   0.1W 0805  25ppm MUL,WWN-00005,SMD  30K1   0.1%   0.1W 0805  25ppm WAL
ICJ-00038,#SMDic CY7C65620-56LFXA QFN-56 CYP,ICJ-00051,#SMDic CY7C65620-56LTXA QFN-56 CYP
ITO-00018,#SMDic ULN2003AFWG     SO16   TOS,ITI-00915,SMDic ULN2003AIDG4 SO-16  TI  (SPARK)
WDL-00047,PTF56    50R0 0.1%  15ppm            VIS,WVH-01093,PTF56    50R0 0.1%  10ppm            VIS
KMU-00311,#SMD  22uF       20%   25V  X5R 1206 MUR,KMU-00268,#SMD  22uF       10%   25V  X5R 1206 MUR
FKT-00002,COIL   SS11VL-R04520     KEM,FZZ-00155,Coil   523-EUT20                     BUC
WVH-01044,SMD   4M7     1%  0.25W 1206 100ppm VIS,WRX-00027,SMD   4M7     1%  0.25W 1206 100ppm ROH
523123-10-01,Circuit board DIVA-S03,523123-10-01 RVC,*Circuit board DIVA-S03  ONLY FOR RVC
KAX-00409,SMD  10uF       10%   10V  X7R 0805 AVX,KS21-00010,SMD  10uF       10%   10V  X7R 0805 SAM
KVH-00390,SMD  10uF       10%    6V3 X5R 0805 VIS,KAX-00457,SMD  10uF       10%    6V3 X5R 0805 AVX
WVH-00651,SMD  30K    0.1%   0.1W 0603  25ppm VIS,WPA-00181,SMD  30K    0.1%   0.1W 0603  25ppm PAN
WAP-00077,SMD   2K21    1% 0.063W 0603  50ppm  TE,WYA-00413,SMD   2K21  0.5%   0.1W 0603  50ppm YAG
LQT-00003,#Led green      5mm  MV64531  EVE,LVH-00013,Led Green 5mm 15mcd TLHG5405   VIS
LQT-00003,#Led green      5mm  MV64531  EVE,LVH-00034,Led     Green 15mcd         5mm      VIS
DSG-00099,SMDdio SMBJ33A             SMB      STM,DVH-00223,SMDzen SMBJ33A-E3   SMB   VIS
FCQ-00104,SMDIND 12NH 2%  0.7A     0603 COI,FWO-00147,SMDind   12nH  5% 700mA     0603     WUR
DM8-00008,#SMDdio LL4007G            MELF     MUL,DDI-00002,SMDdio SM4007   MELF           DIO
WVH-01078,verwijderen,WPH-00399,SMD  20K      1%   0.1W 0603 100ppm YAG
KKT-00153,SMD   2u2F      10%  100V  X7R 1210 KEM,KSM-00023,SMD   2u2F      10%  100V  X7R 1210 SAM
BZZ-01633,Screw DIN7985 M2.5X8 TORX A2,BJV-00010,M2.5x8          BK TORX  RVS   JEV
NZZ-00276,CON PCB 4P MALE 90° 3.81MM WEIDMULLER,CWD-00128,CONN  4P MALE HKS 3.81MM WEI
NZZ-00277,CON PCB 10P MALE 90° 3.81MM WEIDMULLER,CWD-00127,CONN 10P MALE HKS 3.81MM WEI
NZZ-00278,CON PCB 6P MALE 90° 3.81MM WEIDMULLER,CWD-00138,CONN  6P MALE HKS 3.81MM WEI
NZZ-00279,CON PCB 5P MALE 90° 3.81MM WEIDMULLER,CWD-00137,CONN  5P MALE HKS 3.81MM WEI
NZZ-00280,CON PCB 4P MALE 90° CIM049P5 SAURO,CS56-00029,CONN 4P MALE 90 SAU
WVH-00651,SMD  30K    0.1%   0.1W 0603  25ppm VIS,WYA-00442,SMD  30K    0.1%   0.1W 0603  25ppm YAG
WVH-00654,SMD 120K    0.1% 0.125W 0603  25ppm VIS,WYA-00443,SMD 120K    0.1%   0.1W 0603  25ppm YAG
NZZ-00369,SMDRES MTL 33R 1% 0402 0.063W,WVH-01083,SMD  33R      1% 0.063W 0402 100ppm VIS
DN4-00042,SMDDio BAS16L 75V  SOD882            NEX,DD2-00058,SMDdio BAS16HLP-7           DFN1006  DIO
IA6-00179,SMDic AT42QT1011-TSUR     SOT-23-6  ATM,IA6-00166,SMDic AT42QT1011-TSHR     SOT-23-6  ATM
WVH-00923,SMD  39K      1%   0.1W 0603 100ppm VIS,WPH-00453,SMD  39K      1%   0.1W 0603 100ppm YAG
WVH-00912,SMD   3K3     1%   0.1W 0603 100ppm VIS,WPH-00413,SMD   3K3     1%   0.1W 0603 100ppm YAG
WVH-00920,SMD  47K      1%   0.1W 0603 100ppm VIS,WPH-00355,SMD  47K      1%   0.1W 0603 100ppm YAG
WVH-00159,SMD  56K      1%   0.1W 0603 100ppm VIS,WPH-01301,SMD  56K      1%   0.1W 0603 100ppm YAG
WDR-00012,SMD   1K      1% 0.063W 0402 100ppm VIS,WYA-00391,SMD   1K      1% 0.063W 0402 100ppm YAG
DVH-00204,SMDdio SMAJ26A               SMA     VIS,DSG-00112,SMDdio SMAJ26A               SMA     STM
KVH-00399,SMD  10pF        5%   50V  HQ  0402 VIS,KS21-00012,SMD  10pF   ±0.25pF   50V  C0G 0402 SAM
KVH-00340,SMD  56pF        5%  100V  C0G 0805 VIS,KVH-00474,SMD  56pF        5%   50V  C0G 0805 VIS
KVH-00463,SMD   4u7F      10%    6V3 X5R 0805 VIS,KS21-00013,SMD   4u7F      10%    6V3 X5R 0805 SAM
WVH-00783,SMD 143K      1% 0.063W 0402 100ppm VIS,WYA-00450,SMD 143K      1% 0.063W 0402 100ppm YAG
IR11-00004,#SMDic R1WV3216RBG RAM32Mb 70n BGA48 REN,IR11-00019,SMDic RMWV3216AGBG RAM32Mb FBGA48  REN
IS33-00006,#SMDic SX8656IWLTRT          QFN-20  SEM,IS33-00009,#SMDic SX8676IWLTRT          QFN-20  SEM
WVH-00653,SMD 200K    0.1% 0.125W 0603  25ppm VIS,WYA-00454,SMD 200K    0.1%   0.1W 0603  25ppm YAG
DN4-00043,SMDzen  BZX384-B5V1 SOD323 NEX,DC5-00002,SMDzen  CZRF52C5V1-HF SOD323F  COM
DVH-00148,#SMDdio VESD05A6A-HA3-GS08  LLP75-7L VIS,DVH-00245,SMDdio VESD05A6-HAF-GS08  LLP75-7L VIS
DVH-00226,SMDRECTIFIER  DF1510S   DFS-4   VIS,DD2-00059,verwijderen
TOZ-00044,#Trans BC547BG straight lead TO-92   ONS,TOZ-00064,Trans BC547BBU straight lead TO-92   ONS
KKT-00292,SMD   2n2F      10% 1000V  X7R 1812 KEM,KKT-00310,SMD   2n2F       5% 1000V  C0G 1812 KEM
WVH-00046,SMD  11K      1%   0.1W 0603 100ppm YAG,WVH-00762,SMD  11K      1% 0.125W 0603  50ppm VIS
KVH-00466,SMD   1nF       10% 2000V  C0G 1812 VIS,KAX-00462,#SMD   1nF       10% 2000V  X7R 1812 AVX
ISM-00037,#SMDIC KLM4G1YEMD-B031 TFBGA-165  SAM,NZZ-00348,SMDIC KLM4G1YEMD-B031 TFBGA 4GB
IZZ-00157,SMDic ASIC Analog PSU 708782 SSOP20,IZZ-00183,SMDic ASIC white dot 708782 SSOP20
WPH-01347,SMD     0R  1% 0.4W   MELF   VIS,WVH-01054,SMD 0R 1% 1W MELF0207 VIS
WDR-00031,SMD   0R         0.063W 0402        VIS,WPH-01484,SMD   0R         0.063W 0402        YAG
WVH-00144,SMD 820R      1%   0.1W 0603 100ppm VIS,WPH-00489,SMD 820R      1%   0.1W 0603 100ppm YAG
KKT-00236,SMD  47uF       20%    6V3 X5R 0805 KEM,KS21-00014,SMD  47uF       20%    6V3 X5R 0805 SAM
WVH-00727,SMD   4K99    1% 0.063W 0402 100ppm VIS,WYA-00456,SMD   4K99    1% 0.063W 0402 100ppm YAG
WVH-00745,SMD  49R9     1% 0.063W 0402 100ppm VIS,WYA-00457,SMD  49R9     1% 0.063W 0402 100ppm YAG
WVH-00028,SMD   2K2     1%   0.1W 0603 100ppm VIS,WPH-00375,SMD   2K2     1%   0.1W 0603 100ppm YAG
WDR-00015,SMD 100K      1% 0.063W 0402 100ppm VIS,WYA-00392,SMD 100K      1% 0.063W 0402 100ppm YAG
ITI-01027,SMDic CD74HC4051PWR     TSSOP-16  TI,INP-00009,SMDIC 74HC4051PW   TSSOP-16  NEX
KAX-00427,SMD 100pF        5%   50V  C0G 0402 AVX,KS21-00008,SMD 100pF        5%   50V  C0G 0402 SAM
KVH-00404,verwijderen,KVH-00116,SMD  22pF        2%   50V  C0G 0603 VIS
KMU-00120,#SMD  4u7F       10%   25V  X7R 1206 MUR,NZZ-00225,SMDCAP CER X7R 4.7uF 25V 10% 1206
BZZ-01193,#Wartel PG9  PA  250/09   JAC,BZZ-01624,Wartel PG9  PA   KV9/8     WISKA
DVH-00242,SMDDIO  MSS1P6-M3/89A   DO-219AD  VIS,DD2-00060,SMDDIO  PD3S160-7   SOD-323F   DIO
DM8-00006,#SMDdio LL4004G              MELF    MUL,DTW-00024,#SMDdio LL4004G              MELF    TAI
DVH-00098,#SMDzen BZG05C3V9    DO214AC VIS,DVH-00247,#SMDzen BZG05C3V9-E3-TR    DO214AC VIS
DVH-00143,#SMDzen BZG05C5V6TR         DO-214AC VIS,DVH-00222,#SMDzen BZG05C5V6-E3     DO-214AC VIS
WM8-00058,#SMD   1K65    1% 0.063W 0603 100ppm MUL,WAP-00090,SMD   1K65    1% 0.063W 0603  50ppm  TE
KSI-00174,#SMD  33pF        5%   50V  C0G 1206 EPC,KVH-00478,SMD  33pF        1%  100V  C0G 1206 VIS
KVH-00455,SMD 150nF       10%   25V  X7R 0805 VIS,NZZ-00402,SMDCAP X7R 150NF 10% 16V 0805 VIS
DTW-00023,SMDdio S4J 600V 4A          SMA      TAI,DDI-00020,SMDdiode S3J  3A 600V       DO-214AB DIO
DFA-00010,Brugcel  D6XBA80  6A                 FAG,DD2-00061,#Brugcel  GBJ1508-F   15A  80V       DIO
IXL-00041,#Ic XC17S50-APD8C     DIP-8 XIL,IMH-00282,IC  AT17LV010-10PU   DIP-8     MIC
IXL-00076,#Ic XC17S50-APD8C GEPROG 2194307.3 XIL,IMH-00283,IC AT17LV010-10PU GEPROG 2194307.3 MIC
IXL-00082,#Ic XC17S50-APD8C GEPROG 2194308.4 XIL,IMH-00284,IC AT17LV010-10PU GEPROG 2194308.4 MIC
VTV-00012,SMDvar B72580T0600K062 60V 10% 1812 TDK,VSI-00134,#SMDvar B72580T0600S172 60V 10% 1812 EPC
DM8-00008,#SMDdio LL4007G            MELF     MUL,DDI-00002,SMDdio SM4007   MELF           DIO
KVH-00401,SMD  56pF        5%   25V  HQ  0402 VIS,KVH-00480,SMD  56pF        5%   50V  C0G 0402 VIS
IZZ-00183,SMDic ASIC white dot 708782 SSOP20,IZZ-00200,SMDic ASIC Gold dot 708782 SSOP20
IZZ-00200,SMDic ASIC Gold dot 708782 SSOP20,IZZ-00201,SMDic ASIC Green dot 708782 SSOP20
DVH-00184,SMDdio SS10P4-M3/86A       SMPC     VIS,DTW-00025,#SMDdiode TSP10U45S 45V 10A TO-277A  TAI
KMU-00120,#SMD  4u7F       10%   25V  X7R 1206 MUR,KMU-00260,SMD   4u7F      10%   50V  X7R 1206 MUR
KVH-00391,SMD  47pF        2%   50V  C0G 0603 VIS,NZZ-00080,SMDCAP CER NPO 47pF 50V 2% 0603
DMC-00006,SMDDIODE  US1K   SMA   MCC,DD2-00063,SMDdiode US1K-13-F          SMA      DIO
WVH-00115,SMD  23K7     1%   0.1W 0603  50ppm VIS,WVH-01094,verwijderen
KMU-00311,#SMD  22uF       20%   25V  X5R 1206 MUR,KSM-00025,SMD  22uF       10%   25V  X5R 1206 SAM
WVH-00951,SMD  2R  1% 0.25W 50ppm  MMA0204   VIS,WVH-01132,verwijderen
IT1-00004,SMDmultipl 6trap 302-VM6 (VM1447)    TEM,IZZ-00171,#SMDMultiplier 6-Traps  302VM6 VM1447
IT1-00002,SMDmultipl 4trap   302VM4          TEMEX,IZZ-00170,#SMDMultiplier 4-Traps 302VM4 VM1448
IT1-00004,SMDmultipl 6trap 302-VM6 (VM1447)    TEM,IZZ-00171,#SMDMultiplier 6-Traps  302VM6 VM1447
IT1-00002,SMDmultipl 4trap   302VM4          TEMEX,IZZ-00170,#SMDMultiplier 4-Traps 302VM4 VM1448
WYA-00397,SMD   6K49    1% 0.063W 0402  50ppm YAG,WS66-00043,SMD   6K49  0.5% 0.063W 0402  25ppm SUS
DD2-00062,SMDzen 12V 0.5W DDZ9699-7  SOD-123 DIO,DOZ-00088,SMDzen 12V 0.5W MMSZ4699T1G SOD-123 ONS
AVX-00014,Batt 3V6 3/V15H 15mAh NiMH VAR,AVX-00013,Batt 3V6 3/V15H 15mAh NiMH VAR
WVH-01056,SMD  43K2     1%   0.1W 0603 100ppm VIS,WYA-00470,SMD  43K2     1%   0.1W 0603 100ppm YAG
WVH-01079,SMD 240K      1% 0.063W 0402 100ppm VIS,WYA-00471,SMD 240K      1% 0.063W 0402 100ppm YAG
WVH-01069,SMD  20K5     1% 0.063W 0402 100ppm VIS,WYA-00472,SMD  20K5     1% 0.063W 0402 100ppm YAG
WVH-00359,SMD   2K21    1% 0.063W 0402 100ppm VIS,WYA-00473,SMD   2K21    1% 0.063W 0402 100ppm YAG
WVH-00352,SMD   6K04    1% 0.063W 0402 100ppm VIS,WYA-00474,SMD   6K04    1% 0.063W 0402 100ppm YAG
WDR-00013,SMD   5K6     1% 0.063W 0402 100ppm VIS,WYA-00475,SMD   5K6     1% 0.063W 0402 100ppm YAG
TSG-00100,SMD MOSFET VNN1NV04PTR-E SOT-223  STM,TSG-00102,SMDfet VNN3NV04P-E          SOT-223  STM
DN4-00036,SMDdio schottky PMEG4010BEA SOD-323  NEX,DN4-00106,SMDdiode PMEG4010CEJ        SOD-323  NEX
KMU-00133,#SMD   1uF       10%   50V  X7R 0805 MUR,NZZ-00227,SMDCAP CER X7R 1uF 50V 10% 0805
FMU-00014,#Filter DSS6NC52A221Q55B             MUR,FMU-00242,Filter DSS1NB32A221Q91               MUR
DVH-00106,SMDdio SM6T220CA            SMB      VIS,DSG-00115,SMDdio SM6T220CA            SMB      ST
KMU-00133,#SMD   1uF       10%   50V  X7R 0805 MUR,KAX-00464,SMD   1uF       10%   50V  X7R 0805 AVX
INM-00008,#SMDic M25P32-VMF6P         SO-16W   MIC,IM11-00005,SMDic MX25L3206EMI-12G      SO-16W   MAC
WVH-01047,SMD 10k 1% 0.4W MMA0204 50ppm VIS,WVH-01143,SMD       10k  1% 0.25W 50ppm MELF   VIS
CMO-00173,SMDconn   14P 2R mle 90º R=2mm       MOL,CMO-00227,SMDconn   14p 2r str 2mm + vac.kapje MOL
ZBN-00008,Fuseholder     HTC45M 5x20 BUS,ZBN-00025,Fuseholder     H15-V-1    5x20    BUS
KM8-00037,SMD  22pF        5% 1000V  C0G 1206 MUL,KYA-00074,SMD  22pF        5% 1000V  C0G 1206 YAG
KMU-00133,#SMD   1uF       10%   50V  X7R 0805 MUR,KAX-00464,SMD   1uF       10%   50V  X7R 0805 AVX
IMH-00290,SMDIC MIC2091-2YM5  SOT-23_5  MIC,IMH-00292,SMDic  MIC2091-1YM5         SOT-23-5 MIC
WM8-00101,#SMD  69K8     1% 0.063W 0603 100ppm MUL,WAP-00093,SMD  69K8     1% 0.063W 0603  50ppm  TE
WM8-00101,#SMD  69K8     1% 0.063W 0603 100ppm MUL,WAP-00093,SMD  69K8     1% 0.063W 0603  50ppm  TE
ISG-00508,SMDic STM32F103RCT7         LQFP-64  STM,ISG-00417,SMDic STM32F103RCT6         LQFP-64  STM
LO1-00039,SMDled blue LB T673-M2P1-35    OSR,LO1-00083,SMDled blue LB T673-L2P1-35    OSR
LO1-00039,SMDled blue LB T673-M2P1-35    OSR,LO1-00077,#SMDLED BLUE T673-M2P1-25-Z  PLCC-2  OSR
WVH-00951,SMD  2R  1% 0.25W 50ppm  MMA0204   VIS,WVH-00649,SMD   2R  1% 0.25W  SMM0204 50ppm  VIS
WVH-00115,SMD  23K7     1%   0.1W 0603  50ppm VIS,WVH-01072,SMD  23K7     1%   0.1W 0603 100ppm VIS
KMU-00311,#SMD  22uF       20%   25V  X5R 1206 MUR,KSM-00025,SMD  22uF       10%   25V  X5R 1206 SAM
IM13-00041,#SMDIC  N25Q064A13ESE40G SO-8  MIC,II6-00012,SMDIC  IS25LP128-JBLE   SO-8  ISSI
KVH-00467,SMD   1p5F  ±0.25pF  100V  C0G 0603 VIS,KVH-00485,SMD   1p5F  ±0.25PF   50V  C0G 0603 VIS
KMU-00248,SMD  10uF       10%   50V  X7R 1210 MUR,KS21-00016,SMD  10uF       10%   50V  X7R 1210 SAM
SA13-00017,#SMDswitch SKQTLAE010       ALP,SDJ-00019,SMDswitch 1188E-1K2-V-T/R            DIP
DVH-00188,Diode BY527TAP               VIS,DVH-00250,Diode 1N5062TR               VIS
CHX-00083,SubD       9p mle 90º                HAR,CHX-00105,SubD       9p mle 90º                HAR
MZZ-01136,Antenna patch 433MHZ Transit Ultimate,UZZ-01630,Antenna patch 433MHZ   2J Antennae
WDR-00008,SMD  30M      5% 0.125W 0805 500ppm VIS,WRX-00028,SMD  30M      5% 0.125W 0805 100ppm ROH
WVH-00767,SMD   7R15  1% 0.25W MMA0204 50ppm VIS,WVH-01205,SMD      7R15  1% 0.4W 50ppm SMM0204 VIS
